customer,type,region
4POS,OEM,Europe
4POS AG,OEM,Europe
Acrelec,OBM,Europe
ACRELEC MANUFACTURING SAS,OBM,Europe
ADASYS GmbH,OBM,Europe
AG Neovo,OBM,APEC
AG NEOVO TECHNOLOGY B.V.,OBM,APEC
Ainsworth,OEM,Americas
AINSWORTH GAME,OEM,Americas
AINSWORTH GAME TECHNOLOGY LTD,OEM,Americas
AKAM Netherlands bv,OBM,Europe
ARUZE Philippines Manufacturing Inc.,OBM,APEC
ASUSTek COMPUTER INC.,OBM,APEC
Aures,OEM,Americas
AURES TECHNOLOGIES,OEM,Americas
B&R,OEM,Americas
Big C,OBM,APEC
Blue Point Controls,OEM,Americas
Bluestar Inc USA,OBM,Americas
Box Technologies Ltd,OBM,Americas
BPC,OEM,Americas
Canvys,,
CLMBR,OEM,Americas
CONTEC,,
CRESTRON ELECTRONICS,OBM,Americas
Crown,,
Custom,OBM,Europe
DHL,,
Diebold Nixdorf,OEM,Europe
DN,OEM,Europe
Echelon,OEM,Americas
Eurocoin GmbH,OEM,Americas
GTT COMPANY,OBM,APEC
GWI & Ohters,,
Health Monitor,OBM,Americas
HiStone,,
Hitachi,,
Ideum,OEM,Americas
IIYAMA,OBM,Europe
Internal Project,,
komatsu,,
Medallion,OEM,Americas
Mettler Toledo,,
Microtouch,,
MicroTouch/TESA,,
NCR,OEM,Americas
NCR Corporation,OEM,Americas
NCR Financial Solutions Group Ltd.,OEM,Americas
Next System,OBM,Europe
Phoenix Controls Corp,,
"Planar Systems,Inc",OBM,Americas
Primelco,OEM,Europe
Primelco System Device AG,OEM,Europe
Promate,OEM,APEC
Promate Solutions Corp,OEM,APEC
Ryoden,,
Sektor,OBM,APEC
Sirona,OEM,Europe
Sirona Dental Systems GmbH,OEM,Europe
SmartRetail,,
Speede,,
Standard,,
TES,,
TES Germany,,
TEST,,
"Toshiba global commerce Solutions, Inc.",,
TPK,OEM,APEC
Vertiv,OBM,Americas
World Wide Oppotunities,,
上海华屹,,
上海商米科技集团,OEM,China
上海岐骥贸易有限公司,OEM,China
上海法本电子科技有限公司,OEM,China
上海飞刃网络科技有限公司,OEM,China
创斯达（上海）有限公司,OEM,China
北京鼎合远传,,
厦门才茂通信科技,OEM,China
威海新北洋数码科技有限公司,OEM,China
威海新北洋荣鑫科技股份有限公司,OEM,China
尊博科技股份有限公司,OBM,APEC
恒银金融,OEM,China
新北洋,OEM,China
新校源,OEM,China
新石器,OEM,China
海信,OEM,China
深圳怡化金融设备制造,OBM,China
湖南长城信息金融设备,OEM,China
湖南长城信息金融设备有限责任公司,OEM,China
研華股份有限公司,OBM,APEC
联想,OEM,China
艾訊股份有限公司,OBM,APEC
長城信息,OEM,China
长城,OEM,China
长城信息,OEM,China
鸿通,OEM,China
